phone_number,email,credit_score,age_group,family_background,income,property_type,budget,preferred_location,comments,lead_intent
+91-2746317213,figueroajohn@example.org,549,36-50,Married with Kids,442942,Apartment,1454132,Noida,Interested in investment,0
+91-3163119785,garzaanthony@example.org,331,36-50,Single,1642787,Plot,1502621,Ahmedabad,Urgent visit required,1
+91-939042955,hoffmanjennifer@example.net,764,26-35,Married,1721876,Apartment,612901,Hyderabad,Budget issue,1
+91-6635473142,shaneramirez@example.org,307,26-35,Single,1924403,Plot,2614460,Delhi,Urgent visit required,1
+91-9275666116,jpeterson@example.org,597,26-35,Married with Kids,1483928,Villa,1579325,Surat,Visit after 2 weeks,1
+91-1445662585,jamesmichael@example.com,415,36-50,Married with Kids,1390757,Villa,2398932,Mumbai,Please send details,0
+91-6887950851,blairamanda@example.com,593,26-35,Single,421175,Commercial,2941711,Noida,Looking to move soon,0
+91-8928378856,maria95@example.net,531,18-25,Married,998051,Commercial,2801898,Bangalore,Just exploring,0
+91-9415807788,williamsjeremy@example.com,662,36-50,Single,598586,Apartment,542576,Hyderabad,Just exploring,0
+91-4231494220,michellejames@example.com,385,26-35,Married with Kids,711105,Villa,2735860,Noida,Budget issue,0
+91-1566942273,michael41@example.net,746,36-50,Single,1488262,Plot,2178093,Delhi,Looking to move soon,1
+91-2727210979,frankgray@example.net,673,18-25,Married with Kids,984225,Plot,753701,Noida,Interested in investment,1
+91-9533174566,megan03@example.org,330,26-35,Married with Kids,944752,Plot,1644858,Mumbai,Please send details,0
+91-7752612686,nadams@example.net,414,26-35,Married,756807,Apartment,1701932,Hyderabad,Need loan info,0
+91-1351531223,pfoster@example.com,553,36-50,Married with Kids,565381,Villa,2700627,Jaipur,Not now,0
+91-4908596099,johnhoffman@example.com,397,36-50,Married,1696809,Commercial,1763586,Surat,Interested in investment,1
+91-6801222128,jeffrey28@example.com,704,26-35,Married,598941,Commercial,2194642,Bangalore,Immediate possession preferred,1
+91-470939445,laurahenderson@example.org,445,36-50,Single,1590510,Apartment,503340,Hyderabad,Immediate possession preferred,1
+91-5947530309,jrice@example.org,844,36-50,Married,431971,Villa,978977,Noida,Immediate possession preferred,1
+91-9081930571,kayla51@example.com,708,36-50,Married with Kids,660830,Apartment,657099,Delhi,Looking to move soon,1
+91-1867302554,usmith@example.net,541,18-25,Married with Kids,666621,Plot,876829,Pune,Visit after 2 weeks,1
+91-9357238580,harrellkenneth@example.net,449,26-35,Married,1904144,Plot,1560691,Hyderabad,Finalizing options this week,1
+91-854316681,kathryn88@example.org,705,26-35,Single,468303,Apartment,1690372,Bangalore,Interested in investment,0
+91-6867414708,xsmith@example.com,560,18-25,Single,786232,Apartment,988607,Delhi,Looking to move soon,1
+91-1028439863,nataliearroyo@example.org,460,51+,Married,1664374,Villa,915091,Surat,Interested in investment,1
+91-7438486479,spenceamanda@example.org,431,18-25,Single,834041,Plot,1724090,Bangalore,Not now,0
+91-9141371741,karroyo@example.com,572,36-50,Married with Kids,1078474,Plot,1544721,Mumbai,Visit after 2 weeks,1
+91-6900268326,sarahcampos@example.net,540,18-25,Married with Kids,1584403,Villa,2907656,Delhi,Budget issue,0
+91-9453871839,raymond57@example.net,821,18-25,Married with Kids,458849,Commercial,909460,Surat,Visit after 2 weeks,0
+91-1939118223,jeffreymorgan@example.net,391,18-25,Married,1871260,Plot,1119057,Jaipur,Interested in investment,1
+91-2379074819,adrianzimmerman@example.org,402,36-50,Married with Kids,321154,Apartment,1560089,Surat,Call me ASAP,0
+91-983297492,heathchad@example.org,668,36-50,Single,1813019,Apartment,2059524,Hyderabad,Budget issue,0
+91-9785985339,ilewis@example.net,443,26-35,Married with Kids,1851663,Commercial,1262186,Bangalore,Call me ASAP,1
+91-2030106617,maguirre@example.org,838,18-25,Married,745043,Plot,1291734,Pune,Finalizing options this week,1
+91-9006249259,agomez@example.com,586,26-35,Married,728684,Apartment,1035350,Hyderabad,Immediate possession preferred,1
+91-8822598054,brownjessica@example.org,765,36-50,Married,1489236,Apartment,1566671,Chennai,Just exploring,1
+91-1067970820,amandataylor@example.org,441,36-50,Single,607719,Apartment,2762941,Chennai,Need loan info,0
+91-5491309593,nancyjones@example.net,376,36-50,Married with Kids,393288,Villa,1138067,Noida,Immediate possession preferred,0
+91-420514789,novaksara@example.org,455,26-35,Married,1875511,Commercial,1559790,Ahmedabad,Looking to move soon,1
+91-5009268066,zolson@example.org,364,36-50,Married with Kids,1139759,Apartment,810186,Jaipur,Just exploring,0
+91-5002078344,gallowayjoseph@example.com,545,26-35,Married with Kids,1103580,Villa,722888,Jaipur,Call me ASAP,1
+91-5520103410,smoore@example.org,387,51+,Married,1065269,Commercial,698415,Chennai,Urgent visit required,1
+91-4160575046,adkinsbrian@example.net,382,26-35,Married with Kids,706555,Plot,2861817,Chennai,Just exploring,0
+91-2281169403,yuchristopher@example.org,396,18-25,Married,1072683,Villa,670620,Hyderabad,Looking to move soon,1
+91-8884231465,leonardjoe@example.org,570,36-50,Married,1887444,Plot,1705557,Noida,Call me ASAP,1
+91-2446737272,harveyrobert@example.net,420,51+,Married,835580,Villa,2598690,Noida,Urgent visit required,1
+91-1119980130,john62@example.net,449,26-35,Married,945926,Plot,1527200,Jaipur,Urgent visit required,1
+91-7067372072,wstewart@example.org,734,26-35,Married,388510,Apartment,2591817,Delhi,Please send details,0
+91-4334976883,jonesjason@example.com,404,26-35,Single,813625,Commercial,2078524,Delhi,Not now,0
+91-5344160868,eric84@example.net,324,26-35,Single,1760847,Apartment,2195147,Noida,Looking to move soon,1
+91-2271782991,sarah12@example.com,464,26-35,Married,925627,Plot,1828574,Hyderabad,Immediate possession preferred,1
+91-9049650601,josephjacobs@example.net,796,51+,Married with Kids,360944,Apartment,1616704,Delhi,Need loan info,0
+91-1472659626,william40@example.org,446,26-35,Married,1089575,Commercial,1306468,Hyderabad,Urgent visit required,1
+91-7019198243,bradley52@example.net,596,18-25,Married,875659,Apartment,749013,Bangalore,Urgent visit required,1
+91-8503167458,joycearnold@example.com,604,26-35,Married with Kids,1444899,Apartment,712702,Chennai,Interested in investment,1
+91-2409076656,jonesnicole@example.org,443,18-25,Married with Kids,1943455,Commercial,1452382,Ahmedabad,Not now,0
+91-2343292475,brandi26@example.org,579,26-35,Married,1688754,Villa,893943,Bangalore,Visit after 2 weeks,1
+91-4474620894,rachel05@example.org,407,26-35,Married with Kids,447657,Plot,2022625,Mumbai,Visit after 2 weeks,0
+91-2929454134,gomezanita@example.com,484,36-50,Married with Kids,1298080,Apartment,2919140,Delhi,Looking to move soon,1
+91-3218981849,michellecherry@example.org,448,26-35,Single,289345,Apartment,912083,Surat,Please send details,0
